#

Date1	Date2	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	T0	T1	T2	T3	T4	T5	T6	T7	T8	T9	I0	I1	I2	I3
Date(String)	Date(Number)	C_still	3K	Still	MC - TT1810	MC - Cernox	50 mK				50K	C_still	3K	Still	MC - TT1810	MC - Cernox	50 mK				50K	Sorb3K	3K	Still	MC
		No Calibration	RuO2-10K-NEW	RuO2 10k	TT-1810	CernoxA - mk	RuO2 1k5	No Calibration	No Calibration	No Calibration	PT1000	No Calibration	RuO2-10K-NEW	RuO2 10k	TT-1810	CernoxA - mk	RuO2 1k5	No Calibration	No Calibration	No Calibration	PT1000				
2021-03-22 12:22:00	3.6992569203E+9	2.161131E-10	1.517645E+4	4.989731E+4	2.365479E+4	0.000000E+0	5.388270E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	216.113122E-12	3.622313E+3	1.008167E+3	32.535059E+0	NaN	168.394942E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:23:07	3.6992569874E+9	2.193088E-10	1.516772E+4	4.986798E+4	2.365431E+4	0.000000E+0	5.387785E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	219.308767E-12	3.628283E+3	1.008716E+3	32.536001E+0	NaN	168.433161E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:24:09	3.6992570497E+9	2.202548E-10	1.516985E+4	4.996352E+4	2.359442E+4	0.000000E+0	5.388728E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	220.254791E-12	3.626819E+3	1.006930E+3	32.654165E+0	NaN	168.356178E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:25:26	3.6992571262E+9	2.235880E-10	1.516916E+4	4.998019E+4	2.359215E+4	0.000000E+0	5.386337E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	223.587998E-12	3.627298E+3	1.006619E+3	32.658649E+0	NaN	168.554174E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:29:09	3.6992573496E+9	2.286692E-10	1.517165E+4	4.998019E+4	2.371848E+4	7.044251E+4	5.386337E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	228.669215E-12	3.625594E+3	1.006619E+3	32.410117E+0	102.076955E+0	168.554174E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:29:46	3.6992573864E+9	2.311034E-10	1.517269E+4	4.985853E+4	2.371889E+4	7.133511E+4	5.390621E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	231.103407E-12	3.624883E+3	1.008893E+3	32.409302E+0	101.855513E+0	168.199938E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:30:23	3.6992574231E+9	2.324797E-10	1.517095E+4	4.993529E+4	2.372935E+4	7.093899E+4	5.390692E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	232.479673E-12	3.626069E+3	1.007457E+3	32.388844E+0	101.954896E+0	168.194640E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:31:02	3.6992574622E+9	2.318662E-10	1.516986E+4	4.993566E+4	2.371441E+4	7.189965E+4	5.390049E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	231.866215E-12	3.626815E+3	1.007451E+3	32.418065E+0	101.710787E+0	168.247845E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:31:40	3.6992575003E+9	2.400107E-10	1.517160E+4	4.993823E+4	2.372056E+4	7.144167E+4	5.389955E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	240.010713E-12	3.625626E+3	1.007402E+3	32.406034E+0	101.828476E+0	168.254807E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:32:28	3.6992575488E+9	2.462519E-10	1.517659E+4	5.001577E+4	2.373169E+4	7.128139E+4	5.392415E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	246.251901E-12	3.622218E+3	1.005956E+3	32.384286E+0	101.869097E+0	168.051743E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:33:09	3.6992575890E+9	2.474306E-10	1.517730E+4	4.992745E+4	2.372685E+4	7.161101E+4	5.390915E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	247.430562E-12	3.621734E+3	1.007604E+3	32.393734E+0	101.785238E+0	168.176393E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:33:50	3.6992576308E+9	2.492686E-10	1.517648E+4	5.000609E+4	2.373397E+4	7.213795E+4	5.387935E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	249.268644E-12	3.622292E+3	1.006136E+3	32.379820E+0	101.648597E+0	168.421927E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:34:33	3.6992576736E+9	2.450933E-10	1.517482E+4	4.986139E+4	2.371705E+4	7.198458E+4	5.388945E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	245.093331E-12	3.623425E+3	1.008840E+3	32.412912E+0	101.688698E+0	168.337520E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
2021-03-22 12:35:17	3.6992577176E+9	2.383242E-10	1.517619E+4	4.989084E+4	2.374223E+4	7.034798E+4	5.387857E+3	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	238.324220E-12	3.622493E+3	1.008288E+3	32.363698E+0	102.099882E+0	168.427584E+0	0.000000E+0	0.000000E+0	0.000000E+0	-Inf	0.000000	0.000000	0.000000	0.000000
